"state","gunOwnershipPercentage","gunOwnershipLicensesIn2022"
"Montana",66.3,36678
"Wyoming",66.2,142247
"Alaska",64.5,28237
"Idaho",60.1,76425
"West Virginia",58.5,50963
"Arkansas",57.2,133981
"Mississippi",55.8,80712
"Alabama",55.5,194920
"South Dakota",55.3,64666
"North Dakota",55.1,30975
"Oklahoma",54.7,103368
"Kentucky",54.6,108833
"Louisiana",53.1,152061
"Tennessee",51.6,151536
"Oregon",50.8,97474
"Vermont",50.5,9451
"South Carolina",49.4,119205
"Georgia",49.2,304124
"Kansas",48.9,69850
"Missouri",48.8,113351
"Nevada",47.3,119007
"Maine",46.8,21396
"Utah",46.8,118408
"Arizona",46.3,258691
"New Mexico",46.2,122968
"North Carolina",45.8,222166
"Texas",45.7,1006555
"Wisconsin",45.3,95430
"Nebraska",45.2,43261
"Colorado",45.1,149382
"Indiana",44.8,157546
"Virginia",44.6,423707
"Iowa",43.6,54178
"Minnesota",42.8,129825
"Washington",42.1,165534
"New Hampshire",41.1,72433
"Pennsylvania",40.7,348167
"Michigan",40.2,109835
"Ohio",40,208661
"Florida",35.3,518725
"Delaware",34.4,6092
"Maryland",30.2,136257
"California",28.3,406360
"Illinois",27.8,144749
"Connecticut",23.6,74874
"New York",19.9,92191
"Hawaii",14.9,9280
"Rhode Island",14.8,4887
"Massachusetts",14.7,45138
"New Jersey",14.7,102228
